,dtype,n_values,n_nan_total,n_non_numeric_values,n_posinf,n_neginf
EPN3,float64,248,0,0,0,0
LTBP1,float64,248,0,0,0,0
RCN1,float64,248,0,0,0,0
ELN,float64,248,0,0,0,0
RFC2,float64,248,0,0,0,0
ARID1B,float64,248,0,0,0,0
CLPTM1L,float64,248,0,0,0,0
NEDD4L,float64,248,0,0,0,0
FOXP3,float64,248,0,0,0,0
PPP1R3F,float64,248,0,0,0,0
HEXB,float64,248,0,0,0,0
PTCD2,float64,248,0,0,0,0
NEXMIF,float64,248,0,0,0,0
JKAMP,float64,248,0,0,0,0
DKK3,float64,248,0,0,0,0
ARHGEF5,float64,248,0,0,0,0
NFE2L3,float64,248,0,0,0,0
MCUR1,float64,248,0,0,0,0
LIMA1,float64,248,0,0,0,0
LETMD1,float64,248,0,0,0,0
SLC4A8,float64,248,0,0,0,0
LAMC3,float64,248,0,0,0,0
PTGER3,float64,248,0,0,0,0
TNIP3,float64,248,0,0,0,0
MAPK9,float64,248,0,0,0,0
COL23A1,float64,248,0,0,0,0
BCAR1,float64,248,0,0,0,0
FHIP1B,float64,248,0,0,0,0
HERPUD1,float64,248,0,0,0,0
HOMER3,float64,248,0,0,0,0
RAD51,float64,248,0,0,0,0
POLQ,float64,248,0,0,0,0
PIK3CB,float64,248,0,0,0,0
CYBA,float64,248,0,0,0,0
THOC3,float64,248,0,0,0,0
HEBP2,float64,248,0,0,0,0
MPHOSPH9,float64,248,0,0,0,0
PLEKHA5,float64,248,0,0,0,0
PRSS8,float64,248,0,0,0,0
SIKE1,float64,248,0,0,0,0
RRP12,float64,248,0,0,0,0
FNIP2,float64,248,0,0,0,0
MSMO1,float64,248,0,0,0,0
TTC17,float64,248,0,0,0,0
ALX4,float64,248,0,0,0,0
FSTL4,float64,248,0,0,0,0
FOXN3,float64,248,0,0,0,0
METTL24,float64,248,0,0,0,0
AKR7A2,float64,248,0,0,0,0
MRTO4,float64,248,0,0,0,0
NNAT,float64,248,0,0,0,0
USE1,float64,248,0,0,0,0
MCF2L2,float64,248,0,0,0,0
NRIP2,float64,248,0,0,0,0
LAMA3,float64,248,0,0,0,0
AP5M1,float64,248,0,0,0,0
ANAPC4,float64,248,0,0,0,0
KCNQ1,float64,248,0,0,0,0
TRAPPC3,float64,248,0,0,0,0
THRAP3,float64,248,0,0,0,0
PHPT1,float64,248,0,0,0,0
ENTPD2,float64,248,0,0,0,0
LY75,float64,248,0,0,0,0
ARID4B,float64,248,0,0,0,0
OPN3,float64,248,0,0,0,0
SDCCAG8,float64,248,0,0,0,0
PTPRN,float64,248,0,0,0,0
HHAT,float64,248,0,0,0,0
KIF1B,float64,248,0,0,0,0
FOXC1,float64,248,0,0,0,0
TBC1D22A,float64,248,0,0,0,0
SYNE2,float64,248,0,0,0,0
PLEKHH1,float64,248,0,0,0,0
ATP9A,float64,248,0,0,0,0
SPO11,float64,248,0,0,0,0
CBLN4,float64,248,0,0,0,0
CHRDL2,float64,248,0,0,0,0
FAM168A,float64,248,0,0,0,0
RELT,float64,248,0,0,0,0
